Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.xhanti-fhir.json	2638	-	0	0	0	0	0	0	4	52	0	0	0	0	0	0	0	0	0	0	68	49	0	0	0	1	0	0
fsh-generated/resources/Patient-HIVPatientExample.json	1299	17	0	0	0	0	0	0	1	66	0	0	0	0	0	0	0	0	0	0	16	8	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-hiv-patient.json	2681	16	1	0	0	0	0	173	0	183	0	0	0	0	0	0	0	3	0	0	488	2436	0	1	0	13	0	2
